,text,label
0,"My question is why are your presenters using such provocative language to describe how our ADF personnel are assisting with the pandemic in Victoria. They are continually using the phrase the ADF are corralling people, as if they are rounding people up like animals? Please reply.",0
1,RT : Sort of obsessed with how Miller doesn't either offer his umbrella to his wife or at least try to hold it over her as t…,0
2,"Onto your next dumb reply, stop shifting blame. You're acting like every dumb American who didn't care about covid is related to ""#Qtards or #MAGAts "", so every college student who didn't care and went on spring break vacations ever is Q? Damn that's some real misinformation.",0
3,Parents of a student at my school refusing to enroll their child in face-to-face classes BECAUSE all the students/teachers will be wearing masks. One of the few examples of stupidity actually SAVING lives in this pandemic?,1
4,"Please release your data on those same things. Just focus on the suicides. People keep calling bullshit on Covid numbers, bringing up suicide as a counter but don’t have those numbers either. Fight facts with facts or stfu.",1
5,RT : The mask is a political armband you wear on your face. It is not meant to protect you or others from disease. It is me…,0
6,That is a little different than housing covid patients in nursing homes! They weren’t allowed any visitors and died alone- they were murdered!,0
7,"The Democrats are like cotton candy, come out fluffy and then melt away. How Democratic is that ?#COVID19 #ILAND #StreamWatermelonSugar #iqrarulhassan #melting #twitch #MoneyHeist #coronavirus #myfuture #Arewa #RipCity #Lootcase",0
8,"RT : Keeping a physical distance from people to prevent infection is one thing, but what about the air we breathe? Experts weigh in on w…",0
9,"That’s fine. IT is a personal choice, doesn’t hurt anybody or add risk to others whatsoever. Temp checks mean nothing. Dr Fauci and CDC never recommend this. Masks, distance, avoid crowds wash hands.",0
10,"Same reasoning as 1000s attending all the services for G. Floyd, but when & PA DOH sent #COVID to our local nursing home, infecting 73/83 seniors, 19 deaths, families not only were denied any & all contact & funeral services,but Pa govt ignored all calls for help.",0
11,Maybe because you and I are not doctors. We don't know what is going on with this patient and his doctor. My guess is that they take it for two weeks to stop any potential side effects from covid.,1
12,Ladies and gentlemen allow me to introduce our governor doug ducey... the only man to suggest his way through a pandemic and spend more money on his suggestions then on his constituents.,1
13,"Want to order a pizza, but you're trying to lose weight and not sure if you want to risk catching Covid from the driver or the people making it. Hmm.... vegan dinner it is tonight! (No I'm not a vegan, it's just potatoes and veggies with some butter.)",0
14,"#PresidentPelosi if you try to cancel the election. 154,000 Americans dead who didn't have to die because of your INEPT CORRUPTION #COVID19 #JusticeIsComing January 21, 2020.",0
15,"RT : Today at 5 - ""If we can maintain physical separation at schools we can begin classes this fall in a fairly safe manner."" A…",0
